"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",2,"Premium","J","I1",61.5,59,5051,8.11,8.06,4.97
"2",2.06,"Premium","J","I1",61.2,58,5203,8.1,8.07,4.95
"3",2.08,"Premium","H","I1",61.7,57,6150,8.23,8.18,5.06
"4",2,"Premium","H","I1",59.7,62,6344,8.19,8.02,4.85
"5",2.15,"Premium","H","I1",62.9,57,6357,8.25,8.2,5.18
"6",2.03,"Premium","G","I1",61.1,58,6377,8.11,8.06,4.94
"7",2.21,"Premium","H","I1",62.2,58,6535,8.31,8.27,5.16
"8",2.3,"Premium","G","I1",60.2,59,7226,8.71,8.56,5.19
"9",2.04,"Premium","I","I1",61.1,61,7403,8.25,8.12,5
"10",2.03,"Premium","H","I1",59.4,59,7421,8.31,8.22,4.91
"11",2.12,"Premium","G","I1",60,58,7508,8.39,8.28,4.99
"12",3.01,"Premium","I","I1",62.7,58,8040,9.1,8.97,5.67
"13",2.33,"Premium","H","I1",60.7,58,8220,8.64,8.56,5.22
"14",2.04,"Premium","I","I1",59.3,61,8408,8.3,8.25,4.91
"15",2.68,"Premium","G","I1",58.6,60,8419,9.11,9.07,5.33
"16",2.5,"Premium","H","I1",59.9,60,8467,8.75,8.67,5.22
"17",2.34,"Premium","I","I1",61.5,60,8491,8.47,8.43,5.2
"18",2.02,"Premium","J","SI2",63,58,8640,8.07,8.02,5.07
"19",2.17,"Premium","F","I1",60.7,59,9078,8.43,8.35,5.09
"20",2,"Premium","J","VS1",63,58,9296,8.04,7.99,5.05
"21",2.03,"Premium","J","SI2",60.4,59,9435,8.15,8.12,4.91
"22",2.01,"Premium","I","SI2",62.5,60,9658,8.04,7.95,5
"23",2.01,"Premium","I","SI2",62.1,60,9658,8.1,8.03,5.01
"24",2.01,"Premium","I","SI2",63,59,9658,8.04,7.97,5.04
"25",2.43,"Premium","G","I1",61.7,60,9716,8.54,8.49,5.25
"26",2.04,"Premium","G","I1",62.4,58,9727,8.08,8.17,5.07
"27",2.02,"Premium","J","SI2",59.7,56,9728,8.18,8.13,4.87
"28",2.01,"Premium","J","SI1",61.7,60,9793,8.12,8.09,5
"29",2.05,"Premium","I","SI2",62.1,59,9850,8.13,8.07,5.03
"30",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"31",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"32",2.04,"Premium","G","I1",62.4,58,9905,8.17,8.08,5.07
"33",3.01,"Premium","F","I1",62.2,56,9925,9.24,9.13,5.73
"34",2.06,"Premium","F","I1",58.7,61,9967,8.33,8.31,4.88
"35",2.09,"Premium","I","SI2",60.1,59,10042,8.34,8.3,5
"36",2.19,"Premium","J","SI2",58.8,58,10179,8.57,8.53,5.03
"37",2.09,"Premium","H","SI2",61,60,10182,8.28,8.19,5.02
"38",2.14,"Premium","J","SI2",58.4,58,10306,8.52,8.5,4.97
"39",2.01,"Premium","J","VS2",58.6,61,10401,8.18,8.14,4.78
"40",2.01,"Premium","J","SI1",59.8,57,10412,8.17,8.13,4.87
"41",2.77,"Premium","H","I1",62.6,62,10424,8.93,8.83,5.56
